지점,지점명,일시,SPI6
101,춘천,2015-01-01,-1.91
101,춘천,2015-01-02,-1.915
101,춘천,2015-01-03,-1.932
101,춘천,2015-01-04,-1.782
101,춘천,2015-01-05,-1.712
101,춘천,2015-01-06,-1.706
101,춘천,2015-01-07,-1.713
101,춘천,2015-01-08,-1.679
101,춘천,2015-01-09,-1.508
101,춘천,2015-01-10,-1.429
101,춘천,2015-01-11,-1.408
101,춘천,2015-01-12,-1.336
101,춘천,2015-01-13,-1.267
101,춘천,2015-01-14,-1.241
101,춘천,2015-01-15,-1.252
101,춘천,2015-01-16,-1.223
101,춘천,2015-01-17,-1.224
101,춘천,2015-01-18,-1.16
101,춘천,2015-01-19,-1.171
101,춘천,2015-01-20,-1.229
101,춘천,2015-01-21,-1.207
101,춘천,2015-01-22,-1.157
101,춘천,2015-01-23,-.998
101,춘천,2015-01-24,-.929
101,춘천,2015-01-25,-.821
101,춘천,2015-01-26,-.756
101,춘천,2015-01-27,-.73
101,춘천,2015-01-28,-.701
101,춘천,2015-01-29,-.654
101,춘천,2015-01-30,-.586
101,춘천,2015-01-31,-.548
101,춘천,2015-02-01,-.523
101,춘천,2015-02-02,-.493
101,춘천,2015-02-03,-.446
101,춘천,2015-02-04,-.396
101,춘천,2015-02-05,-.34
101,춘천,2015-02-06,-.434
101,춘천,2015-02-07,-.39
101,춘천,2015-02-08,-.326
101,춘천,2015-02-09,-.246
101,춘천,2015-02-10,-.213
101,춘천,2015-02-11,-.175
101,춘천,2015-02-12,-.12
101,춘천,2015-02-13,-.103
101,춘천,2015-02-14,-.153
101,춘천,2015-02-15,-.238
101,춘천,2015-02-16,-.129
101,춘천,2015-02-17,-.852
101,춘천,2015-02-18,-.807
101,춘천,2015-02-19,-.746
101,춘천,2015-02-20,-.743
101,춘천,2015-02-21,-.587
101,춘천,2015-02-22,-.515
101,춘천,2015-02-23,-.397
101,춘천,2015-02-24,-.351
101,춘천,2015-02-25,-.306
101,춘천,2015-02-26,-.263
101,춘천,2015-02-27,-.227
101,춘천,2015-02-28,-.112
101,춘천,2015-03-01,-.011
101,춘천,2015-03-02,-.793
101,춘천,2015-03-03,-.783
101,춘천,2015-03-04,-.74
101,춘천,2015-03-05,-.744
101,춘천,2015-03-06,-.749
101,춘천,2015-03-07,-.729
101,춘천,2015-03-08,-.729
101,춘천,2015-03-09,-.789
101,춘천,2015-03-10,-.654
101,춘천,2015-03-11,-.613
101,춘천,2015-03-12,-.567
101,춘천,2015-03-13,-.496
101,춘천,2015-03-14,-.441
101,춘천,2015-03-15,-.404
101,춘천,2015-03-16,-.41
101,춘천,2015-03-17,-.35
101,춘천,2015-03-18,-.32
101,춘천,2015-03-19,-.267
101,춘천,2015-03-20,-.187
101,춘천,2015-03-21,-.19
101,춘천,2015-03-22,-.196
101,춘천,2015-03-23,-.243
101,춘천,2015-03-24,-.245
101,춘천,2015-03-25,-.253
101,춘천,2015-03-26,-.248
101,춘천,2015-03-27,-.248
101,춘천,2015-03-28,-.325
101,춘천,2015-03-29,-.272
101,춘천,2015-03-30,-.31
101,춘천,2015-03-31,-.41
101,춘천,2015-04-01,-.334
101,춘천,2015-04-02,-.007
101,춘천,2015-04-03,.176
101,춘천,2015-04-04,.198
101,춘천,2015-04-05,.187
101,춘천,2015-04-06,.129
101,춘천,2015-04-07,.128
101,춘천,2015-04-08,.15
101,춘천,2015-04-09,.14
101,춘천,2015-04-10,.156
101,춘천,2015-04-11,.153
101,춘천,2015-04-12,.15
101,춘천,2015-04-13,.179
101,춘천,2015-04-14,.535
101,춘천,2015-04-15,.578
101,춘천,2015-04-16,.628
101,춘천,2015-04-17,.617
101,춘천,2015-04-18,.326
101,춘천,2015-04-19,.218
101,춘천,2015-04-20,.314
101,춘천,2015-04-21,.265
101,춘천,2015-04-22,.253
101,춘천,2015-04-23,.247
101,춘천,2015-04-24,.193
101,춘천,2015-04-25,.171
101,춘천,2015-04-26,.138
101,춘천,2015-04-27,.117
101,춘천,2015-04-28,.112
101,춘천,2015-04-29,.045
101,춘천,2015-04-30,-.022
101,춘천,2015-05-01,-.026
101,춘천,2015-05-02,-.008
101,춘천,2015-05-03,.012
101,춘천,2015-05-04,.018
101,춘천,2015-05-05,.023
101,춘천,2015-05-06,-.03
101,춘천,2015-05-07,-.075
101,춘천,2015-05-08,-.093
101,춘천,2015-05-09,-.142
101,춘천,2015-05-10,-.171
101,춘천,2015-05-11,.005
101,춘천,2015-05-12,.107
101,춘천,2015-05-13,.005
101,춘천,2015-05-14,-.04
101,춘천,2015-05-15,-.026
101,춘천,2015-05-16,-.063
101,춘천,2015-05-17,-.074
101,춘천,2015-05-18,-.171
101,춘천,2015-05-19,-.201
101,춘천,2015-05-20,-.21
101,춘천,2015-05-21,-.328
101,춘천,2015-05-22,-.334
101,춘천,2015-05-23,-.325
101,춘천,2015-05-24,-.362
101,춘천,2015-05-25,-.42
101,춘천,2015-05-26,-.442
101,춘천,2015-05-27,-.637
101,춘천,2015-05-28,-.652
101,춘천,2015-05-29,-.69
101,춘천,2015-05-30,-.7
101,춘천,2015-05-31,-.708
101,춘천,2015-06-01,-.731
101,춘천,2015-06-02,-.742
101,춘천,2015-06-03,-.77
101,춘천,2015-06-04,-.784
101,춘천,2015-06-05,-.814
101,춘천,2015-06-06,-.817
101,춘천,2015-06-07,-.805
101,춘천,2015-06-08,-.83
101,춘천,2015-06-09,-.84
101,춘천,2015-06-10,-.886
101,춘천,2015-06-11,-.903
101,춘천,2015-06-12,-.929
101,춘천,2015-06-13,-.935
101,춘천,2015-06-14,-.93
101,춘천,2015-06-15,-.932
101,춘천,2015-06-16,-.917
101,춘천,2015-06-17,-.976
101,춘천,2015-06-18,-1.117
101,춘천,2015-06-19,-1.139
101,춘천,2015-06-20,-1.076
101,춘천,2015-06-21,-1.083
101,춘천,2015-06-22,-1.115
101,춘천,2015-06-23,-1.139
101,춘천,2015-06-24,-1.161
101,춘천,2015-06-25,-1.236
101,춘천,2015-06-26,-1.024
101,춘천,2015-06-27,-1.073
101,춘천,2015-06-28,-1.083
101,춘천,2015-06-29,-1.201
101,춘천,2015-06-30,-1.425
101,춘천,2015-07-01,-1.271
101,춘천,2015-07-02,-1.445
101,춘천,2015-07-03,-1.622
101,춘천,2015-07-04,-1.556
101,춘천,2015-07-05,-1.554
101,춘천,2015-07-06,-1.547
101,춘천,2015-07-07,-1.629
101,춘천,2015-07-08,-1.505
101,춘천,2015-07-09,-1.577
101,춘천,2015-07-10,-1.683
101,춘천,2015-07-11,-1.811
101,춘천,2015-07-12,-1.466
101,춘천,2015-07-13,-1.395
101,춘천,2015-07-14,-1.444
101,춘천,2015-07-15,-1.578
101,춘천,2015-07-16,-1.806
101,춘천,2015-07-17,-1.967
101,춘천,2015-07-18,-2.033
101,춘천,2015-07-19,-1.9
101,춘천,2015-07-20,-1.961
101,춘천,2015-07-21,-1.905
101,춘천,2015-07-22,-2.043
101,춘천,2015-07-23,-1.656
101,춘천,2015-07-24,-1.494
101,춘천,2015-07-25,-1.153
101,춘천,2015-07-26,-.968
101,춘천,2015-07-27,-.985
101,춘천,2015-07-28,-1.033
101,춘천,2015-07-29,-1.005
101,춘천,2015-07-30,-1.041
101,춘천,2015-07-31,-1.063
101,춘천,2015-08-01,-1.071
101,춘천,2015-08-02,-1.019
101,춘천,2015-08-03,-1.067
101,춘천,2015-08-04,-1.108
101,춘천,2015-08-05,-1.163
101,춘천,2015-08-06,-1.19
101,춘천,2015-08-07,-1.249
101,춘천,2015-08-08,-1.259
101,춘천,2015-08-09,-1.277
101,춘천,2015-08-10,-1.316
101,춘천,2015-08-11,-1.328
101,춘천,2015-08-12,-1.34
101,춘천,2015-08-13,-1.403
101,춘천,2015-08-14,-1.467
101,춘천,2015-08-15,-1.594
101,춘천,2015-08-16,-1.577
101,춘천,2015-08-17,-1.593
101,춘천,2015-08-18,-1.594
101,춘천,2015-08-19,-1.596
101,춘천,2015-08-20,-1.717
101,춘천,2015-08-21,-1.886
101,춘천,2015-08-22,-1.908
101,춘천,2015-08-23,-1.92
101,춘천,2015-08-24,-1.94
101,춘천,2015-08-25,-1.956
101,춘천,2015-08-26,-1.968
101,춘천,2015-08-27,-2.08
101,춘천,2015-08-28,-2.254
101,춘천,2015-08-29,-2.34
101,춘천,2015-08-30,-2.336
101,춘천,2015-08-31,-2.314
101,춘천,2015-09-01,-2.276
101,춘천,2015-09-02,-2.367
101,춘천,2015-09-03,-2.524
101,춘천,2015-09-04,-2.44
101,춘천,2015-09-05,-2.417
101,춘천,2015-09-06,-2.442
101,춘천,2015-09-07,-2.415
101,춘천,2015-09-08,-2.407
101,춘천,2015-09-09,-2.433
101,춘천,2015-09-10,-2.439
101,춘천,2015-09-11,-2.47
101,춘천,2015-09-12,-2.454
101,춘천,2015-09-13,-2.427
101,춘천,2015-09-14,-2.402
101,춘천,2015-09-15,-2.364
101,춘천,2015-09-16,-2.331
101,춘천,2015-09-17,-2.368
101,춘천,2015-09-18,-2.382
101,춘천,2015-09-19,-2.333
101,춘천,2015-09-20,-2.309
101,춘천,2015-09-21,-2.315
101,춘천,2015-09-22,-2.308
101,춘천,2015-09-23,-2.302
101,춘천,2015-09-24,-2.368
101,춘천,2015-09-25,-2.387
101,춘천,2015-09-26,-2.396
101,춘천,2015-09-27,-2.413
101,춘천,2015-09-28,-2.413
101,춘천,2015-09-29,-2.55
101,춘천,2015-09-30,-2.581
101,춘천,2015-10-01,-2.47
101,춘천,2015-10-02,-2.476
101,춘천,2015-10-03,-2.41
101,춘천,2015-10-04,-2.412
101,춘천,2015-10-05,-2.437
101,춘천,2015-10-06,-2.449
101,춘천,2015-10-07,-2.454
101,춘천,2015-10-08,-2.436
101,춘천,2015-10-09,-2.37
101,춘천,2015-10-10,-2.355
101,춘천,2015-10-11,-2.456
101,춘천,2015-10-12,-2.451
101,춘천,2015-10-13,-2.488
101,춘천,2015-10-14,-2.516
101,춘천,2015-10-15,-2.518
101,춘천,2015-10-16,-2.601
101,춘천,2015-10-17,-2.66
101,춘천,2015-10-18,-2.712
101,춘천,2015-10-19,-2.734
101,춘천,2015-10-20,-2.756
101,춘천,2015-10-21,-2.704
101,춘천,2015-10-22,-2.669
101,춘천,2015-10-23,-2.728
101,춘천,2015-10-24,-2.667
101,춘천,2015-10-25,-2.644
101,춘천,2015-10-26,-2.625
101,춘천,2015-10-27,-2.509
101,춘천,2015-10-28,-2.471
101,춘천,2015-10-29,-2.49
101,춘천,2015-10-30,-2.511
101,춘천,2015-10-31,-2.511
101,춘천,2015-11-01,-2.502
101,춘천,2015-11-02,-2.51
101,춘천,2015-11-03,-2.385
101,춘천,2015-11-04,-2.358
101,춘천,2015-11-05,-2.334
101,춘천,2015-11-06,-2.309
101,춘천,2015-11-07,-2.255
101,춘천,2015-11-08,-2.236
101,춘천,2015-11-09,-2.111
101,춘천,2015-11-10,-2.06
101,춘천,2015-11-11,-2.065
101,춘천,2015-11-12,-2.086
101,춘천,2015-11-13,-2.008
101,춘천,2015-11-14,-1.987
101,춘천,2015-11-15,-1.954
101,춘천,2015-11-16,-1.908
101,춘천,2015-11-17,-1.924
101,춘천,2015-11-18,-1.92
101,춘천,2015-11-19,-1.935
101,춘천,2015-11-20,-1.947
101,춘천,2015-11-21,-1.929
101,춘천,2015-11-22,-1.913
101,춘천,2015-11-23,-1.876
101,춘천,2015-11-24,-1.898
101,춘천,2015-11-25,-1.856
101,춘천,2015-11-26,-1.843
101,춘천,2015-11-27,-1.817
101,춘천,2015-11-28,-1.783
101,춘천,2015-11-29,-1.797
101,춘천,2015-11-30,-1.804
101,춘천,2015-12-01,-1.807
101,춘천,2015-12-02,-1.762
101,춘천,2015-12-03,-1.763
101,춘천,2015-12-04,-1.765
101,춘천,2015-12-05,-1.748
101,춘천,2015-12-06,-1.76
101,춘천,2015-12-07,-1.752
101,춘천,2015-12-08,-1.757
101,춘천,2015-12-09,-1.76
101,춘천,2015-12-10,-1.767
101,춘천,2015-12-11,-1.786
101,춘천,2015-12-12,-1.79
101,춘천,2015-12-13,-1.806
101,춘천,2015-12-14,-1.782
101,춘천,2015-12-15,-1.788
101,춘천,2015-12-16,-1.804
101,춘천,2015-12-17,-1.818
101,춘천,2015-12-18,-1.815
101,춘천,2015-12-19,-1.797
101,춘천,2015-12-20,-1.778
101,춘천,2015-12-21,-1.757
101,춘천,2015-12-22,-1.738
101,춘천,2015-12-23,-1.809
101,춘천,2015-12-24,-1.769
101,춘천,2015-12-25,-1.756
101,춘천,2015-12-26,-1.737
101,춘천,2015-12-27,-1.709
101,춘천,2015-12-28,-1.699
101,춘천,2015-12-29,-1.706
101,춘천,2015-12-30,-1.686
101,춘천,2015-12-31,-1.661
101,춘천,2016-01-01,-1.599
101,춘천,2016-01-02,-1.596
101,춘천,2016-01-03,-1.599
101,춘천,2016-01-04,-1.538
101,춘천,2016-01-05,-1.438
101,춘천,2016-01-06,-1.433
101,춘천,2016-01-07,-1.419
101,춘천,2016-01-08,-1.512
101,춘천,2016-01-09,-1.384
101,춘천,2016-01-10,-1.294
101,춘천,2016-01-11,-1.244
101,춘천,2016-01-12,-1.187
101,춘천,2016-01-13,-1.121
101,춘천,2016-01-14,-1.097
101,춘천,2016-01-15,-1.123
101,춘천,2016-01-16,-1.093
101,춘천,2016-01-17,-1.084
101,춘천,2016-01-18,-1.04
101,춘천,2016-01-19,-1.278
101,춘천,2016-01-20,-1.48
101,춘천,2016-01-21,-1.795
101,춘천,2016-01-22,-2.034
101,춘천,2016-01-23,-1.823
101,춘천,2016-01-24,-1.719
101,춘천,2016-01-25,-1.679
101,춘천,2016-01-26,-1.685
101,춘천,2016-01-27,-1.615
101,춘천,2016-01-28,-1.621
101,춘천,2016-01-29,-1.682
101,춘천,2016-01-30,-1.578
101,춘천,2016-01-31,-1.493
101,춘천,2016-02-01,-1.504
101,춘천,2016-02-02,-1.445
101,춘천,2016-02-03,-1.37
101,춘천,2016-02-04,-1.363
101,춘천,2016-02-05,-1.34
101,춘천,2016-02-06,-1.302
101,춘천,2016-02-07,-1.3
101,춘천,2016-02-08,-1.226
101,춘천,2016-02-09,-1.085
101,춘천,2016-02-10,-1.037
101,춘천,2016-02-11,-.949
101,춘천,2016-02-12,-.758
101,춘천,2016-02-13,-.56
101,춘천,2016-02-14,-.463
101,춘천,2016-02-15,-.407
101,춘천,2016-02-16,-.372
101,춘천,2016-02-17,-.325
101,춘천,2016-02-18,-.289
101,춘천,2016-02-19,-.234
101,춘천,2016-02-20,-.216
101,춘천,2016-02-21,-.197
101,춘천,2016-02-22,-.147
101,춘천,2016-02-23,-.027
101,춘천,2016-02-24,.027
101,춘천,2016-02-25,.071
101,춘천,2016-02-26,.105
101,춘천,2016-02-27,.138
101,춘천,2016-02-28,.287
101,춘천,2016-03-01,.37
101,춘천,2016-03-02,.401
101,춘천,2016-03-03,.421
101,춘천,2016-03-04,.428
101,춘천,2016-03-05,.799
101,춘천,2016-03-06,.808
101,춘천,2016-03-07,.818
101,춘천,2016-03-08,.852
101,춘천,2016-03-09,.997
