지점,지점명,일시,최고기온(°C),최저기온(°C),소형총증발량(mm)
105,강릉,2015-01,13.3,-8.1,
105,강릉,2015-02,14.1,-9.7,
105,강릉,2015-03,22.9,-5.3,
105,강릉,2015-04,30.6,2.1,
105,강릉,2015-05,33.9,7.5,
105,강릉,2015-06,32.6,13,
105,강릉,2015-07,36.8,15.1,
105,강릉,2015-08,36.8,17.4,
105,강릉,2015-09,28.6,13.7,
105,강릉,2015-10,27.5,3,
105,강릉,2015-11,21.4,-1.3,
105,강릉,2015-12,15.2,-3.6,
105,강릉,2016-01,13.8,-14.7,
105,강릉,2016-02,10.2,-6,
105,강릉,2016-03,22.3,-5.3,
105,강릉,2016-04,28.3,4,
105,강릉,2016-05,30.5,8.6,
105,강릉,2016-06,31.5,13.9,
105,강릉,2016-07,35.1,17.5,138.5
105,강릉,2016-08,35.5,15.1,179.2
105,강릉,2016-09,30.9,12.6,95.3
105,강릉,2016-10,26.2,4.7,97.5
105,강릉,2016-11,22.1,-.8,94.5
105,강릉,2016-12,15.5,-5.6,91.5
105,강릉,2017-01,12.3,-9.6,91
105,강릉,2017-02,15.5,-6.9,109.9
105,강릉,2017-03,17.4,-2.9,118.7
105,강릉,2017-04,30.4,3.2,221.2
105,강릉,2017-05,33.2,8.7,261.3
105,강릉,2017-06,33,11.4,201.7
105,강릉,2017-07,37.1,20,180.3
105,강릉,2017-08,32.9,17.3,130.4
105,강릉,2017-09,30.5,12.4,174.3
105,강릉,2017-10,24.7,5.7,95.4
105,강릉,2017-11,21.3,-2.7,128.2
105,강릉,2017-12,12.4,-8.8,102.3
105,강릉,2018-01,12.5,-14.2,97.1
105,강릉,2018-02,11.2,-10.7,96.1
105,강릉,2018-03,25.8,-3,155.2
105,강릉,2018-04,32.3,1.5,212.4
105,강릉,2018-05,32.1,5.2,173.2
105,강릉,2018-06,34.5,13.5,206.8
105,강릉,2018-07,37.2,15.9,197.4
105,강릉,2018-08,38.2,18.2,147.9
105,강릉,2018-09,29.1,12.1,129.3
105,강릉,2018-10,25.9,4.3,136.9
105,강릉,2018-11,21.6,0,96.4
105,강릉,2018-12,14.9,-9.9,93.3
105,강릉,2019-01,13.7,-6.2,117.4
105,강릉,2019-02,16.5,-5,99
105,강릉,2019-03,22.4,0,151.2
105,강릉,2019-04,25.1,1.8,175.8
105,강릉,2019-05,34.8,8.9,283.8
105,강릉,2019-06,34.1,11.9,178.6
105,강릉,2019-07,35.4,18,175
105,강릉,2019-08,36.4,20.4,172.1
